date,hiring,work,usajob,apply
2018-05-16,56.440000000000005,78.4,16.4,38.22
2018-05-17,61.2,75.2,0.0,40.74
2018-05-18,48.28,72.8,33.62,34.86
2018-05-19,37.400000000000006,59.2,0.0,28.98
2018-05-20,47.57,62.410000000000004,0.0,31.919999999999998
2018-05-21,62.48,75.05,16.0,39.9
2018-05-22,63.19,75.05,80.0,38.22
2018-05-23,64.61,75.84,16.0,38.22
2018-05-24,61.059999999999995,73.47,16.8,38.64
2018-05-25,48.28,69.52000000000001,17.6,33.18
2018-05-26,46.86,61.620000000000005,0.0,28.56
2018-05-27,45.14,60.84,14.75,28.29
2018-05-28,49.58,62.400000000000006,14.16,30.34
2018-05-29,69.56,75.66,24.189999999999998,38.54
2018-05-30,74.0,74.10000000000001,0.0,40.589999999999996
2018-05-31,69.56,74.88,24.189999999999998,37.72
2018-06-01,56.24,71.76,0.0,35.26
2018-06-02,49.58,63.96,0.0,29.11
2018-06-03,52.14,67.94,0.0,34.32
2018-06-04,71.10000000000001,77.42,58.8,42.68
2018-06-05,72.68,76.63000000000001,70.0,43.56
