,date,open_oil,high_oil,low_oil,oil_price,oil_adj,volume_oil,divid,split coef,oil,production,wti,brent,crude oil,barrel
2019-05-20,2019-05-20,64.46,64.869,64.15,64.56,12.912,10532.0,0.0,1.0,50.22,40.0,1.59,50.82,1.4500000000000002,32.33
2019-05-21,2019-05-21,64.34,64.585,64.34,64.42,12.884,1446.0,0.0,1.0,53.94,38.5,1.05,66.0,2.45,32.33
2019-05-22,2019-05-22,63.72,63.84,62.325,62.5165,12.5033,17554.0,0.0,1.0,52.7,41.0,2.01,56.1,2.9000000000000004,32.33
2019-05-23,2019-05-23,60.59,60.72,58.59,59.3164,11.8633,51382.0,0.0,1.0,53.94,41.5,1.98,52.14,3.95,33.55
2019-05-24,2019-05-24,60.2,60.2,58.746,60.09,12.017999999999999,27567.0,0.0,1.0,53.32,33.0,3.0,55.44000000000001,4.25,35.99
2019-05-28,2019-05-28,60.72,60.72,60.04,60.04,12.008,11313.0,0.0,1.0,52.08,34.309999999999995,3.52,53.95,4.15,33.15
2019-05-29,2019-05-29,58.81,60.14,58.15,60.1223,12.0245,18738.0,0.0,1.0,50.84,34.78,2.8000000000000003,55.9,5.0,33.15
2019-05-30,2019-05-30,60.33,60.33,57.52,57.7095,11.5419,24812.0,0.0,1.0,52.08,35.72,2.8000000000000003,63.7,3.3000000000000003,35.1
2019-05-31,2019-05-31,56.23,56.33,54.22,54.3824,10.8765,22525.0,0.0,1.0,54.56,34.78,2.68,52.65,3.35,36.4
2019-06-03,2019-06-03,55.53,55.5305,53.88,53.9648,10.793,26182.0,0.0,1.0,52.08,45.08,1.95,57.6,3.96,37.7
2019-06-04,2019-06-04,54.31,54.83,53.84,54.69,10.937999999999999,9962.0,0.0,1.0,51.46,46.55,1.35,55.04,3.12,40.02
2019-06-05,2019-06-05,53.36,53.995,52.0,52.85,10.57,30598.0,0.0,1.0,50.84,46.06,2.07,48.0,4.44,37.7
2019-06-06,2019-06-06,52.74,54.46,52.3,54.3344,10.8669,34636.0,0.0,1.0,52.08,49.0,2.31,48.0,3.24,40.02
2019-06-07,2019-06-07,53.7898,55.339,53.7898,55.19,11.038,21249.0,0.0,1.0,51.46,43.12,1.08,52.48,3.24,37.7
2019-06-10,2019-06-10,55.16,55.5801,54.2272,54.4721,10.8944,13670.0,0.0,1.0,51.84,45.12,1.5,56.44000000000001,3.01,37.76
2019-06-11,2019-06-11,55.13,55.13,54.4,54.4907,10.8981,8041.0,0.0,1.0,52.48,40.89,1.35,54.40000000000001,3.08,37.76
2019-06-12,2019-06-12,53.47,53.47,52.0,52.1474,10.4295,23874.0,0.0,1.0,53.12000000000001,46.53,1.71,61.2,4.2,37.17
2019-06-13,2019-06-13,54.37,54.37,53.29,53.3425,10.6685,33987.0,0.0,1.0,57.6,41.83,2.16,52.36000000000001,7.000000000000001,38.35
2019-06-14,2019-06-14,53.72,54.07,53.42,53.75,10.75,20865.0,0.0,1.0,58.88,38.54,2.1,53.72000000000001,4.0600000000000005,40.12
